stop_id,stop_name,stop_lat,stop_lon
STOP_16_START,Auckland Park,-26.195,28.034
STOP_16_VIA,Sydenham( UJ Scholars),-26.195,28.034
STOP_16_END,Sydenham (UJ Scholars),-26.195,28.034
STOP_421D_START,Bellevue East,-26.195,28.034
STOP_421D_VIA,Sunninghill,-26.195,28.034
STOP_421D_END,Sunninghill,-26.195,28.034
STOP_421F_START,Bellevue East,-26.195,28.034
STOP_421F_VIA,Fairlands,-26.195,28.034
STOP_421F_END,Fairlands,-26.195,28.034
STOP_421G_START,Bellevue East,-26.195,28.034
STOP_421G_VIA,Fourways Mall,-26.195,28.034
STOP_421G_END,Fourways Mall,-26.195,28.034
STOP_421R_START,Bellevue East,-26.195,28.034
STOP_421R_VIA,Strydom Park,-26.195,28.034
STOP_421R_END,Strydom Park,-26.195,28.034
STOP_421H_START,Bellevue East,-26.195,28.034
STOP_421H_VIA,Honeydew,-26.195,28.034
STOP_421H_END,Honeydew,-26.195,28.034
STOP_42_START,Braamfontein,-26.195,28.034
STOP_42_VIA,Elands Park,-26.195,28.034
STOP_42_END,Elands Park,-26.195,28.034
STOP_45_START,Braamfontein,-26.195,28.034
STOP_45_VIA,Marist Brothers,-26.195,28.034
STOP_45_END,Marist Brothers,-26.195,28.034
STOP_32C_START,Braamfontein,-26.195,28.034
STOP_32C_VIA,Bedford Plaza,-26.195,28.034
STOP_32C_END,Bedford Plaza,-26.195,28.034
STOP_57B_START,Braamfontein,-26.195,28.034
STOP_57B_VIA,Naturena,-26.195,28.034
STOP_57B_END,Naturena,-26.195,28.034
STOP_56_START,Braamfontein,-26.195,28.034
STOP_56_VIA,Mayfield Park,-26.195,28.034
STOP_56_END,Mayfield Park,-26.195,28.034
STOP_436_START,Davidsonville,-26.195,28.034
STOP_436_VIA,Sunninghill,-26.195,28.034
STOP_436_END,Sunninghill,-26.195,28.034
STOP_18_START,Foresthill,-26.195,28.034
STOP_18_VIA,JHB Hospital,-26.195,28.034
STOP_18_END,JHB Hospital,-26.195,28.034
STOP_518D_START,Foresthill,-26.195,28.034
STOP_518D_VIA,Sunninghill,-26.195,28.034
STOP_518D_END,Sunninghill,-26.195,28.034
STOP_415A_START,Gandhi square,-26.195,28.034
STOP_415A_VIA,Makro centre,-26.195,28.034
STOP_415A_END,Makro centre,-26.195,28.034
STOP_59_START,Gandhi square,-26.195,28.034
STOP_59_VIA,Crown mines Ext,-26.195,28.034
STOP_59_END,Crown mines Ext,-26.195,28.034
STOP_46A_START,Gandhi square,-26.195,28.034
STOP_46A_VIA,JHB Hospital,-26.195,28.034
STOP_46A_END,JHB Hospital,-26.195,28.034
STOP_47_START,Gandhi square,-26.195,28.034
STOP_47_VIA,Townsview,-26.195,28.034
STOP_47_END,Townsview,-26.195,28.034
STOP_48_START,Gandhi square,-26.195,28.034
STOP_48_VIA,Towerby,-26.195,28.034
STOP_48_END,Towerby,-26.195,28.034
STOP_55B_START,Gandhi square,-26.195,28.034
STOP_55B_VIA,Evans Park,-26.195,28.034
STOP_55B_END,Evans Park,-26.195,28.034
STOP_55A_START,Gandhi square,-26.195,28.034
STOP_55A_VIA,Ridgeway Extention,-26.195,28.034
STOP_55A_END,Ridgeway Extention,-26.195,28.034
STOP_42A_START,Gandhi square,-26.195,28.034
STOP_42A_VIA,Elands Park,-26.195,28.034
STOP_42A_END,Elands Park,-26.195,28.034
STOP_47C_START,Gandhi square,-26.195,28.034
STOP_47C_VIA,the Glen,-26.195,28.034
STOP_47C_END,the Glen,-26.195,28.034
STOP_47B_START,Gandhi square,-26.195,28.034
STOP_47B_VIA,Bassonia,-26.195,28.034
STOP_47B_END,Bassonia,-26.195,28.034
STOP_79_START,Gandhi square,-26.195,28.034
STOP_79_VIA,Parkhurst,-26.195,28.034
STOP_79_END,Parkhurst,-26.195,28.034
STOP_49B_START,Gandhi square,-26.195,28.034
STOP_49B_VIA,Glenvista Extention 5,-26.195,28.034
STOP_49B_END,Glenvista Extention 4,-26.195,28.034
STOP_01A_START,Gandhi square,-26.195,28.034
STOP_01A_VIA,Parktown North,-26.195,28.034
STOP_01A_END,Parktown North,-26.195,28.034
STOP_49C_START,Gandhi square,-26.195,28.034
STOP_49C_VIA,Mulbarton,-26.195,28.034
STOP_49C_END,Mulbarton,-26.195,28.034
STOP_13A_START,Gandhi square,-26.195,28.034
STOP_13A_VIA,Glenhazel,-26.195,28.034
STOP_13A_END,Glenhazel,-26.195,28.034
STOP_4_START,Gandhi square,-26.195,28.034
STOP_4_VIA,Highlands North,-26.195,28.034
STOP_4_END,Highlands north,-26.195,28.034
