route_id,service_id,trip_id
relation/1024053,dummy,relation/1024053_dummy
relation/1026727,dummy,relation/1026727_dummy
relation/1026729,dummy,relation/1026729_dummy
relation/1026738,dummy,relation/1026738_dummy
relation/1112285,dummy,relation/1112285_dummy
relation/1112286,dummy,relation/1112286_dummy
relation/1112287,dummy,relation/1112287_dummy
relation/1112288,dummy,relation/1112288_dummy
relation/1112289,dummy,relation/1112289_dummy
relation/1112305,dummy,relation/1112305_dummy
relation/1112306,dummy,relation/1112306_dummy
relation/1112307,dummy,relation/1112307_dummy
relation/1112313,dummy,relation/1112313_dummy
relation/1112362,dummy,relation/1112362_dummy
relation/1112363,dummy,relation/1112363_dummy
relation/1112364,dummy,relation/1112364_dummy
relation/1112366,dummy,relation/1112366_dummy
relation/1112367,dummy,relation/1112367_dummy
relation/1112478,dummy,relation/1112478_dummy
relation/1112479,dummy,relation/1112479_dummy
relation/1112480,dummy,relation/1112480_dummy
relation/1112481,dummy,relation/1112481_dummy
relation/1112482,dummy,relation/1112482_dummy
relation/1112483,dummy,relation/1112483_dummy
relation/10374913,dummy,relation/10374913_dummy
relation/10398176,dummy,relation/10398176_dummy
relation/10415674,dummy,relation/10415674_dummy
relation/10649225,dummy,relation/10649225_dummy
relation/10670766,dummy,relation/10670766_dummy
relation/10670932,dummy,relation/10670932_dummy
relation/10670934,dummy,relation/10670934_dummy
relation/10670937,dummy,relation/10670937_dummy
relation/10670948,dummy,relation/10670948_dummy
relation/10670955,dummy,relation/10670955_dummy
relation/10670990,dummy,relation/10670990_dummy
relation/10670991,dummy,relation/10670991_dummy
relation/10671014,dummy,relation/10671014_dummy
relation/10671027,dummy,relation/10671027_dummy
relation/10671046,dummy,relation/10671046_dummy
relation/10671047,dummy,relation/10671047_dummy
relation/10671053,dummy,relation/10671053_dummy
relation/10671054,dummy,relation/10671054_dummy
relation/10671055,dummy,relation/10671055_dummy
relation/10671076,dummy,relation/10671076_dummy
relation/10671077,dummy,relation/10671077_dummy
relation/10671112,dummy,relation/10671112_dummy
relation/10671113,dummy,relation/10671113_dummy
relation/10671125,dummy,relation/10671125_dummy
relation/10671137,dummy,relation/10671137_dummy
relation/10672955,dummy,relation/10672955_dummy
relation/10672956,dummy,relation/10672956_dummy
relation/13315887,dummy,relation/13315887_dummy
