trip_id,start_time,end_time,headway_secs
relation/4511530_weekday_peak1,05:00:00,08:30:00,300
relation/4511530_weekday_offpeak,08:30:00,15:00:00,900
relation/4511530_weekday_peak2,15:00:00,21:00:00,300
relation/4511530_saturday,05:00:00,19:00:00,1800
relation/4511530_sunday,06:00:00,19:00:00,1800
relation/4511533_weekday_peak1,05:00:00,08:30:00,300
relation/4511533_weekday_offpeak,08:30:00,15:00:00,900
relation/4511533_weekday_peak2,15:00:00,21:00:00,300
relation/4511533_saturday,05:00:00,19:00:00,1800
relation/4511533_sunday,06:00:00,19:00:00,1800
relation/4511598_weekday_peak1,05:00:00,08:30:00,300
relation/4511598_weekday_offpeak,08:30:00,15:00:00,900
relation/4511598_weekday_peak2,15:00:00,21:00:00,300
relation/4511598_saturday,05:00:00,19:00:00,1800
relation/4511598_sunday,06:00:00,19:00:00,1800
relation/4511835_weekday_peak1,05:00:00,08:30:00,300
relation/4511835_weekday_offpeak,08:30:00,15:00:00,900
relation/4511835_weekday_peak2,15:00:00,21:00:00,300
relation/4511835_saturday,05:00:00,19:00:00,1800
relation/4511835_sunday,06:00:00,19:00:00,1800
relation/4512263_weekday_peak1,05:00:00,08:30:00,300
relation/4512263_weekday_offpeak,08:30:00,15:00:00,900
relation/4512263_weekday_peak2,15:00:00,21:00:00,300
relation/4512263_saturday,05:00:00,19:00:00,1800
relation/4512263_sunday,06:00:00,19:00:00,1800
relation/4513582_weekday_peak1,05:00:00,08:30:00,300
relation/4513582_weekday_offpeak,08:30:00,15:00:00,900
relation/4513582_weekday_peak2,15:00:00,21:00:00,300
relation/4513582_saturday,05:00:00,19:00:00,1800
relation/4513582_sunday,06:00:00,19:00:00,1800
relation/4513703_weekday_peak1,05:00:00,08:30:00,300
relation/4513703_weekday_offpeak,08:30:00,15:00:00,900
relation/4513703_weekday_peak2,15:00:00,21:00:00,300
relation/4513703_saturday,05:00:00,19:00:00,1800
relation/4513703_sunday,06:00:00,19:00:00,1800
relation/4513946_weekday_peak1,05:00:00,08:30:00,300
relation/4513946_weekday_offpeak,08:30:00,15:00:00,900
relation/4513946_weekday_peak2,15:00:00,21:00:00,300
relation/4513946_saturday,05:00:00,19:00:00,1800
relation/4513946_sunday,06:00:00,19:00:00,1800
relation/4513947_weekday_peak1,05:00:00,08:30:00,300
relation/4513947_weekday_offpeak,08:30:00,15:00:00,900
relation/4513947_weekday_peak2,15:00:00,21:00:00,300
relation/4513947_saturday,05:00:00,19:00:00,1800
relation/4513947_sunday,06:00:00,19:00:00,1800
relation/4514015_weekday_peak1,05:00:00,08:30:00,300
relation/4514015_weekday_offpeak,08:30:00,15:00:00,900
relation/4514015_weekday_peak2,15:00:00,21:00:00,300
relation/4514015_saturday,05:00:00,19:00:00,1800
relation/4514015_sunday,06:00:00,19:00:00,1800
relation/4514016_weekday_peak1,05:00:00,08:30:00,300
relation/4514016_weekday_offpeak,08:30:00,15:00:00,900
relation/4514016_weekday_peak2,15:00:00,21:00:00,300
relation/4514016_saturday,05:00:00,19:00:00,1800
relation/4514016_sunday,06:00:00,19:00:00,1800
relation/4514458_weekday_peak1,05:00:00,08:30:00,300
relation/4514458_weekday_offpeak,08:30:00,15:00:00,900
relation/4514458_weekday_peak2,15:00:00,21:00:00,300
relation/4514458_saturday,05:00:00,19:00:00,1800
relation/4514458_sunday,06:00:00,19:00:00,1800
relation/4514459_weekday_peak1,05:00:00,08:30:00,300
relation/4514459_weekday_offpeak,08:30:00,15:00:00,900
relation/4514459_weekday_peak2,15:00:00,21:00:00,300
relation/4514459_saturday,05:00:00,19:00:00,1800
relation/4514459_sunday,06:00:00,19:00:00,1800
relation/4514729_weekday_peak1,05:00:00,08:30:00,300
relation/4514729_weekday_offpeak,08:30:00,15:00:00,900
relation/4514729_weekday_peak2,15:00:00,21:00:00,300
relation/4514729_saturday,05:00:00,19:00:00,1800
relation/4514729_sunday,06:00:00,19:00:00,1800
relation/4514730_weekday_peak1,05:00:00,08:30:00,300
relation/4514730_weekday_offpeak,08:30:00,15:00:00,900
relation/4514730_weekday_peak2,15:00:00,21:00:00,300
relation/4514730_saturday,05:00:00,19:00:00,1800
relation/4514730_sunday,06:00:00,19:00:00,1800
relation/4514818_weekday_peak1,05:00:00,08:30:00,300
relation/4514818_weekday_offpeak,08:30:00,15:00:00,900
relation/4514818_weekday_peak2,15:00:00,21:00:00,300
relation/4514818_saturday,05:00:00,19:00:00,1800
relation/4514818_sunday,06:00:00,19:00:00,1800
relation/4514819_weekday_peak1,05:00:00,08:30:00,300
relation/4514819_weekday_offpeak,08:30:00,15:00:00,900
relation/4514819_weekday_peak2,15:00:00,21:00:00,300
relation/4514819_saturday,05:00:00,19:00:00,1800
