trip_id,arrival_time,departure_time,stop_id,stop_sequence
relation/19970570_dummy,06:00:00,06:00:00,relation/7655339,0
relation/19970570_dummy,06:01:00,06:01:00,way/532857499,1
relation/19970570_dummy,06:02:00,06:02:00,relation/7655287,2
relation/19970570_dummy,06:03:00,06:03:00,relation/7655338,3
relation/19970570_dummy,06:04:00,06:04:00,way/1077034088,4
relation/19970570_dummy,06:05:00,06:05:00,relation/7655302,5
relation/19970570_dummy,06:06:00,06:06:00,relation/7655301,6
relation/19970570_dummy,06:07:00,06:07:00,relation/7655300,7
relation/19970570_dummy,06:08:00,06:08:00,way/532856078,8
relation/19970570_dummy,06:09:00,06:09:00,way/532856076,9
relation/19970570_dummy,06:10:00,06:10:00,relation/7655247,10
relation/19970570_dummy,06:11:00,06:11:00,node/13381161108,11
relation/19970570_dummy,06:12:00,06:12:00,node/13381161107,12
relation/19970570_dummy,06:13:00,06:13:00,node/13381161106,13
relation/19970570_dummy,06:14:00,06:14:00,node/13381161105,14
relation/19970570_dummy,06:15:00,06:15:00,node/13381155715,15
relation/19970570_dummy,06:16:00,06:16:00,node/13381177411,16
relation/19970570_dummy,06:17:00,06:17:00,node/13381178165,17
relation/19970570_dummy,06:18:00,06:18:00,node/13381199212,18
relation/19970570_dummy,06:19:00,06:19:00,node/13381202065,19
relation/19970881_dummy,06:00:00,06:00:00,node/13383371460,0
relation/19970881_dummy,06:01:00,06:01:00,node/13383390251,1
relation/19970881_dummy,06:02:00,06:02:00,node/13383392785,2
relation/19970881_dummy,06:03:00,06:03:00,node/9261048739,3
relation/19970881_dummy,06:04:00,06:04:00,node/13383395948,4
relation/19970881_dummy,06:05:00,06:05:00,node/13383400371,5
relation/19970881_dummy,06:06:00,06:06:00,node/13383391283,6
relation/19970881_dummy,06:07:00,06:07:00,node/13383416043,7
relation/19970881_dummy,06:08:00,06:08:00,relation/7655247,8
relation/19970881_dummy,06:09:00,06:09:00,way/532856076,9
relation/19970881_dummy,06:10:00,06:10:00,way/532856078,10
relation/19970881_dummy,06:11:00,06:11:00,relation/7655300,11
relation/19970881_dummy,06:12:00,06:12:00,relation/7655301,12
relation/19970881_dummy,06:13:00,06:13:00,relation/7655302,13
relation/19970881_dummy,06:14:00,06:14:00,way/1077034088,14
relation/19970881_dummy,06:15:00,06:15:00,relation/7655338,15
relation/19970881_dummy,06:16:00,06:16:00,relation/7655287,16
relation/19970881_dummy,06:17:00,06:17:00,way/532857499,17
relation/19970881_dummy,06:18:00,06:18:00,relation/7655339,18
relation/19974206_dummy,06:00:00,06:00:00,node/13385659880,0
relation/19974206_dummy,06:01:00,06:01:00,node/13385699690,1
relation/19974206_dummy,06:02:00,06:02:00,relation/7655247,2
relation/19974206_dummy,06:03:00,06:03:00,way/532856076,3
relation/19974206_dummy,06:04:00,06:04:00,way/532856078,4
relation/19974206_dummy,06:05:00,06:05:00,relation/7655300,5
relation/19974206_dummy,06:06:00,06:06:00,relation/7655301,6
relation/19974206_dummy,06:07:00,06:07:00,relation/7655302,7
relation/19974206_dummy,06:08:00,06:08:00,way/1077034088,8
relation/19974206_dummy,06:09:00,06:09:00,relation/7655338,9
relation/19974206_dummy,06:10:00,06:10:00,relation/7655287,10
relation/19974206_dummy,06:11:00,06:11:00,way/532857499,11
relation/19974206_dummy,06:12:00,06:12:00,relation/7655339,12
relation/19974207_dummy,06:00:00,06:00:00,relation/7655339,0
relation/19974207_dummy,06:01:00,06:01:00,way/532857499,1
relation/19974207_dummy,06:02:00,06:02:00,relation/7655287,2
relation/19974207_dummy,06:03:00,06:03:00,relation/7655338,3
relation/19974207_dummy,06:04:00,06:04:00,way/1077034088,4
relation/19974207_dummy,06:05:00,06:05:00,relation/7655302,5
relation/19974207_dummy,06:06:00,06:06:00,relation/7655301,6
relation/19974207_dummy,06:07:00,06:07:00,relation/7655300,7
relation/19974207_dummy,06:08:00,06:08:00,way/532856078,8
relation/19974207_dummy,06:09:00,06:09:00,way/532856076,9
relation/19974207_dummy,06:10:00,06:10:00,relation/7655247,10
relation/19974207_dummy,06:11:00,06:11:00,node/13385699691,11
relation/19974207_dummy,06:12:00,06:12:00,node/13385685675,12
relation/19974347_dummy,06:00:00,06:00:00,relation/7655302,0
relation/19974347_dummy,06:01:00,06:01:00,relation/7655301,1
relation/19974347_dummy,06:02:00,06:02:00,relation/7655300,2
relation/19974347_dummy,06:03:00,06:03:00,way/532856078,3
relation/19974347_dummy,06:04:00,06:04:00,way/532856076,4
relation/19974347_dummy,06:05:00,06:05:00,relation/7655247,5
relation/19974347_dummy,06:06:00,06:06:00,node/13385699691,6
relation/19974347_dummy,06:07:00,06:07:00,node/13385685675,7
relation/19974348_dummy,06:00:00,06:00:00,node/13385659880,0
relation/19974348_dummy,06:01:00,06:01:00,node/13385699690,1
relation/19974348_dummy,06:02:00,06:02:00,relation/7655247,2
relation/19974348_dummy,06:03:00,06:03:00,way/532856076,3
relation/19974348_dummy,06:04:00,06:04:00,way/532856078,4
relation/19974348_dummy,06:05:00,06:05:00,relation/7655300,5
relation/19974348_dummy,06:06:00,06:06:00,relation/7655301,6
relation/19974348_dummy,06:07:00,06:07:00,relation/7655302,7
relation/19974459_dummy,06:00:00,06:00:00,node/13385659880,0
relation/19974459_dummy,06:01:00,06:01:00,node/13385699690,1
relation/19974460_dummy,06:00:00,06:00:00,node/13385699691,0
relation/19974460_dummy,06:01:00,06:01:00,node/13385685675,1
relation/19978267_dummy,06:00:00,06:00:00,node/6741793702,0
relation/19978267_dummy,06:01:00,06:01:00,node/13387901257,1
relation/19978267_dummy,06:02:00,06:02:00,node/13373967641,2
relation/19978267_dummy,06:03:00,06:03:00,node/13373967640,3
relation/19978267_dummy,06:04:00,06:04:00,node/13373967639,4
relation/19978267_dummy,06:05:00,06:05:00,node/13373967638,5
relation/19978267_dummy,06:06:00,06:06:00,node/13373967637,6
relation/19978267_dummy,06:07:00,06:07:00,node/13387890832,7
relation/19978267_dummy,06:08:00,06:08:00,node/13377614190,8
relation/19978267_dummy,06:09:00,06:09:00,node/13387887688,9
relation/19978267_dummy,06:10:00,06:10:00,node/13387906175,10
relation/19978267_dummy,06:11:00,06:11:00,node/13387894849,11
relation/19978267_dummy,06:12:00,06:12:00,relation/7655339,12
relation/19978268_dummy,06:00:00,06:00:00,relation/7655339,0
relation/19978268_dummy,06:01:00,06:01:00,node/13387894850,1
relation/19978268_dummy,06:02:00,06:02:00,node/13387906176,2
relation/19978268_dummy,06:03:00,06:03:00,node/13387887689,3
relation/19978268_dummy,06:04:00,06:04:00,node/13380469667,4
relation/19978268_dummy,06:05:00,06:05:00,node/13380469666,5
relation/19978268_dummy,06:06:00,06:06:00,node/13369432858,6
relation/19978268_dummy,06:07:00,06:07:00,node/13369432859,7
relation/19978268_dummy,06:08:00,06:08:00,node/13369432861,8
relation/19978268_dummy,06:09:00,06:09:00,node/6722557695,9
relation/19978268_dummy,06:10:00,06:10:00,node/13369432862,10
relation/19978268_dummy,06:11:00,06:11:00,node/13369432863,11
relation/19978268_dummy,06:12:00,06:12:00,node/13369432864,12
relation/19978268_dummy,06:13:00,06:13:00,node/13387896313,13
relation/19978268_dummy,06:14:00,06:14:00,node/13386801670,14
