stop_id,stop_name,stop_lat,stop_lon
node/13381161108,Lynnwood O-3,-25.7567319,28.2320285
node/13381161107,Lynnwood O-6,-25.7590304,28.2418189
node/13381161106,Lynnwood O-7,-25.7607153,28.2478894
node/13381161105,Lynnwood O-8,-25.7615792,28.2521126
node/13381155715,Atterbury O-2,-25.7656262,28.2574579
node/13381177411,Atterbury O-6,-25.7703008,28.2627596
node/13381178165,Atterbury O-9,-25.7736003,28.2670934
node/13381199212,Atterbury O-1,-25.7802001,28.2752047
node/13381202065,Sun Time Square,-25.787503,28.2806586
node/13383371460,Atterbury I-4,-25.7809271,28.2757267
node/13383390251,Atterbury I-5,-25.7761924,28.2692571
node/13383392785,Atterbury I-8,-25.7706981,28.2628629
node/9261048739,Atterbury I-1,-25.765292,28.257033
node/13383395948,Lynnwood I-9,-25.7617722,28.2522879
node/13383400371,Lynnwood I-10,-25.7604704,28.2462915
node/13383391283,Lynnwood I-13,-25.7590262,28.2407655
node/13383416043,Lynnwood I-16,-25.7563568,28.2280039
node/13385659880,Sipho Komane,-25.7505224,28.2371244
node/13385699690,Tukkies,-25.7509291,28.2320755
node/13385699691,Tukkies,-25.7507637,28.2316252
node/13385685675,Arcadia,-25.7477055,28.2332687
node/6741793702,TUT Arcadia,-25.743199,28.199572
node/13387901257,Nelson Mandela,-25.741484,28.2001756
node/13373967641,Environment House,-25.7393386,28.2032206
node/13373967640,Soutpansberg,-25.7369629,28.2030006
node/13373967639,Dr. Savage,-25.7336537,28.2039361
node/13373967638,Steve Biko Hospital,-25.7310916,28.2044115
node/13373967637,Flower,-25.7281894,28.2040276
node/13387890832,Middle Gezina,-25.7194061,28.202549
node/13377614190,Lower Gezina,-25.712908,28.2015228
node/13387887688,Upper Fred Nicholson,-25.7089996,28.1993455
node/13387906175,Eugene Marais,-25.708555,28.1949262
node/13387894849,Middle Fred Nicholson,-25.7080589,28.1899614
node/13387894850,Middle Fred Nicholson,-25.7079846,28.1900885
node/13387906176,Eugene Marais,-25.7084408,28.1946643
node/13387887689,Upper Fred Nicholson,-25.708821,28.1984342
node/13380469667,Lower Gezina,-25.7147102,28.2035874
node/13369432858,Middle Gezina,-25.7210241,28.2046327
node/13369432859,Upper Gezina,-25.7256957,28.2053519
node/13369432861,Steve Biko Hospital,-25.7305618,28.2046787
node/6722557695,Annie Botha,-25.7325633,28.2048085
node/13369432862,Harvest House,-25.7368648,28.2053414
node/13369432863,Pension House,-25.7389198,28.2055146
node/13369432864,Lower Hamilton,-25.7412289,28.2056958
node/13387896313,Upper Hamilton,-25.7470054,28.2061697
node/13386801670,Sunnyside,-25.7516995,28.2053499
