trip_id,arrival_time,departure_time,stop_id,stop_sequence
relation/950176_dummy,06:00:00,06:00:00,node/247644702,0
relation/950176_dummy,06:01:00,06:01:00,node/247646911,1
relation/950176_dummy,06:02:00,06:02:00,node/247646935,2
relation/950176_dummy,06:03:00,06:03:00,node/247646838,3
relation/950176_dummy,06:04:00,06:04:00,node/243060596,4
relation/950176_dummy,06:05:00,06:05:00,node/247646927,5
relation/950176_dummy,06:06:00,06:06:00,node/247327989,6
relation/950176_dummy,06:07:00,06:07:00,node/247327890,7
relation/950176_dummy,06:08:00,06:08:00,node/247327940,8
relation/950176_dummy,06:09:00,06:09:00,node/247327813,9
relation/950176_dummy,06:10:00,06:10:00,node/247327927,10
relation/950176_dummy,06:11:00,06:11:00,node/247327857,11
relation/950176_dummy,06:12:00,06:12:00,node/8148099536,12
relation/950176_dummy,06:13:00,06:13:00,node/249333100,13
relation/950176_dummy,06:14:00,06:14:00,node/249333110,14
relation/950176_dummy,06:15:00,06:15:00,node/249333075,15
relation/950176_dummy,06:16:00,06:16:00,node/249333087,16
relation/950176_dummy,06:17:00,06:17:00,node/244451871,17
relation/950176_dummy,06:18:00,06:18:00,node/240124482,18
relation/950176_dummy,06:19:00,06:19:00,node/228579894,19
relation/950176_dummy,06:20:00,06:20:00,node/129791851,20
relation/950176_dummy,06:21:00,06:21:00,node/7376091348,21
relation/950176_dummy,06:22:00,06:22:00,way/283935875,22
relation/950176_dummy,06:23:00,06:23:00,node/6629401902,23
relation/951344_dummy,06:00:00,06:00:00,node/326084268,0
relation/951344_dummy,06:01:00,06:01:00,node/7055183232,1
relation/951344_dummy,06:02:00,06:02:00,node/7055183244,2
relation/951344_dummy,06:03:00,06:03:00,node/4816809392,3
relation/951344_dummy,06:04:00,06:04:00,node/247325481,4
relation/951344_dummy,06:05:00,06:05:00,node/247325509,5
relation/951344_dummy,06:06:00,06:06:00,way/956961640,6
relation/951344_dummy,06:07:00,06:07:00,node/247325474,7
relation/951344_dummy,06:08:00,06:08:00,node/247325659,8
relation/951344_dummy,06:09:00,06:09:00,node/247325628,9
relation/951344_dummy,06:10:00,06:10:00,node/247325405,10
relation/951344_dummy,06:11:00,06:11:00,node/247325393,11
relation/951344_dummy,06:12:00,06:12:00,node/9139675298,12
relation/951344_dummy,06:13:00,06:13:00,way/446924627,13
relation/951344_dummy,06:14:00,06:14:00,node/247327807,14
relation/951344_dummy,06:15:00,06:15:00,node/247327913,15
relation/951344_dummy,06:16:00,06:16:00,node/247326367,16
relation/951344_dummy,06:17:00,06:17:00,node/247326028,17
relation/951344_dummy,06:18:00,06:18:00,node/247326021,18
relation/951344_dummy,06:19:00,06:19:00,node/247325939,19
relation/951344_dummy,06:20:00,06:20:00,node/30278974,20
relation/951491_dummy,06:00:00,06:00:00,node/326084268,0
relation/951491_dummy,06:01:00,06:01:00,node/7055183232,1
relation/951491_dummy,06:02:00,06:02:00,node/334488266,2
relation/951491_dummy,06:03:00,06:03:00,node/334471021,3
relation/951491_dummy,06:04:00,06:04:00,node/765396160,4
relation/951491_dummy,06:05:00,06:05:00,node/4055856506,5
relation/951491_dummy,06:06:00,06:06:00,node/7051410153,6
relation/952040_dummy,06:00:00,06:00:00,node/326084268,0
relation/952040_dummy,06:01:00,06:01:00,node/7055183232,1
relation/952040_dummy,06:02:00,06:02:00,node/7055183244,2
relation/952040_dummy,06:03:00,06:03:00,node/4816809392,3
relation/952040_dummy,06:04:00,06:04:00,node/247325481,4
relation/952040_dummy,06:05:00,06:05:00,node/247325509,5
relation/952040_dummy,06:06:00,06:06:00,node/247325474,6
relation/952040_dummy,06:07:00,06:07:00,node/247325659,7
relation/952040_dummy,06:08:00,06:08:00,node/247325628,8
relation/952040_dummy,06:09:00,06:09:00,node/247325405,9
relation/952040_dummy,06:10:00,06:10:00,node/247325393,10
relation/952040_dummy,06:11:00,06:11:00,node/8073316464,11
relation/952040_dummy,06:12:00,06:12:00,way/446924627,12
relation/952040_dummy,06:13:00,06:13:00,node/247325381,13
relation/952040_dummy,06:14:00,06:14:00,node/247326012,14
relation/952040_dummy,06:15:00,06:15:00,node/247326300,15
relation/952040_dummy,06:16:00,06:16:00,node/247326425,16
relation/952040_dummy,06:17:00,06:17:00,node/247326376,17
relation/952040_dummy,06:18:00,06:18:00,node/247326407,18
relation/952040_dummy,06:19:00,06:19:00,node/247325966,19
relation/952040_dummy,06:20:00,06:20:00,node/247326273,20
relation/952040_dummy,06:21:00,06:21:00,way/956961640,21
relation/952040_dummy,06:22:00,06:22:00,node/13230742405,22
relation/952040_dummy,06:23:00,06:23:00,way/446832349,23
relation/952040_dummy,06:24:00,06:24:00,node/13231528921,24
relation/5419780_dummy,06:00:00,06:00:00,,0
relation/8468033_dummy,06:00:00,06:00:00,,0
