trip_id,arrival_time,departure_time,stop_id,stop_sequence
relation/19959612_dummy,06:00:00,06:00:00,node/13373919621,0
relation/19959612_dummy,06:01:00,06:01:00,node/13373919620,1
relation/19959612_dummy,06:02:00,06:02:00,node/13373919619,2
relation/19959612_dummy,06:03:00,06:03:00,node/13373919618,3
relation/19959612_dummy,06:04:00,06:04:00,node/13373967641,4
relation/19959612_dummy,06:05:00,06:05:00,node/13373967640,5
relation/19959612_dummy,06:06:00,06:06:00,node/13373967639,6
relation/19959612_dummy,06:07:00,06:07:00,node/13373967638,7
relation/19959612_dummy,06:08:00,06:08:00,node/13373967637,8
relation/19959612_dummy,06:09:00,06:09:00,node/13373967636,9
relation/19959612_dummy,06:10:00,06:10:00,node/13373967635,10
relation/19959612_dummy,06:11:00,06:11:00,node/13387890832,11
relation/19959612_dummy,06:12:00,06:12:00,node/13373939238,12
relation/19959612_dummy,06:13:00,06:13:00,node/13373939237,13
relation/19959612_dummy,06:14:00,06:14:00,node/13373939236,14
relation/19959612_dummy,06:15:00,06:15:00,node/13374023719,15
relation/19959612_dummy,06:16:00,06:16:00,node/13374044522,16
relation/19959612_dummy,06:17:00,06:17:00,node/13374044521,17
relation/19959612_dummy,06:18:00,06:18:00,node/13374044520,18
relation/19959612_dummy,06:19:00,06:19:00,node/13374044519,19
relation/19959612_dummy,06:20:00,06:20:00,node/13374044518,20
relation/19959612_dummy,06:21:00,06:21:00,node/13374044517,21
relation/19959612_dummy,06:22:00,06:22:00,node/13375288073,22
relation/19959612_dummy,06:23:00,06:23:00,node/13375288072,23
relation/19959612_dummy,06:24:00,06:24:00,node/13375288071,24
relation/19959612_dummy,06:25:00,06:25:00,node/13375288070,25
relation/19959612_dummy,06:26:00,06:26:00,node/13375288069,26
relation/19959612_dummy,06:27:00,06:27:00,node/13375288068,27
relation/19959612_dummy,06:28:00,06:28:00,node/13375288067,28
relation/19959612_dummy,06:29:00,06:29:00,node/13375288066,29
relation/19959612_dummy,06:30:00,06:30:00,node/13375288065,30
relation/19959612_dummy,06:31:00,06:31:00,node/13375288064,31
relation/19959612_dummy,06:32:00,06:32:00,node/13375288063,32
relation/19959612_dummy,06:33:00,06:33:00,node/13375288062,33
relation/19959612_dummy,06:34:00,06:34:00,node/13375356567,34
relation/19959612_dummy,06:35:00,06:35:00,node/13375356566,35
relation/19959612_dummy,06:36:00,06:36:00,node/13375356565,36
relation/19959612_dummy,06:37:00,06:37:00,node/13375356564,37
relation/19959612_dummy,06:38:00,06:38:00,node/13375356563,38
relation/19959612_dummy,06:39:00,06:39:00,node/13375356562,39
relation/19959612_dummy,06:40:00,06:40:00,node/13375356561,40
relation/19959612_dummy,06:41:00,06:41:00,node/13375356560,41
relation/19959612_dummy,06:42:00,06:42:00,node/13375377102,42
relation/19959612_dummy,06:43:00,06:43:00,node/13375377101,43
relation/19959612_dummy,06:44:00,06:44:00,node/13375295900,44
relation/19959712_dummy,06:00:00,06:00:00,node/13367259291,0
relation/19959712_dummy,06:01:00,06:01:00,node/13367380236,1
relation/19959712_dummy,06:02:00,06:02:00,node/13367380237,2
relation/19959712_dummy,06:03:00,06:03:00,node/13367380238,3
relation/19959712_dummy,06:04:00,06:04:00,node/13367380239,4
relation/19959712_dummy,06:05:00,06:05:00,node/13367380240,5
relation/19959712_dummy,06:06:00,06:06:00,node/13367380241,6
relation/19959712_dummy,06:07:00,06:07:00,node/13367380242,7
relation/19959712_dummy,06:08:00,06:08:00,node/13367380243,8
relation/19959712_dummy,06:09:00,06:09:00,node/13367380244,9
relation/19959712_dummy,06:10:00,06:10:00,node/13367380245,10
relation/19959712_dummy,06:11:00,06:11:00,node/13367380246,11
relation/19959712_dummy,06:12:00,06:12:00,node/13367380247,12
relation/19959712_dummy,06:13:00,06:13:00,node/13367380248,13
relation/19959712_dummy,06:14:00,06:14:00,node/13367380249,14
relation/19959712_dummy,06:15:00,06:15:00,node/13367380250,15
relation/19959712_dummy,06:16:00,06:16:00,node/13367380251,16
relation/19959712_dummy,06:17:00,06:17:00,node/13367380252,17
relation/19959712_dummy,06:18:00,06:18:00,node/13367380253,18
relation/19959712_dummy,06:19:00,06:19:00,node/13367380255,19
relation/19959712_dummy,06:20:00,06:20:00,node/13369432841,20
relation/19959712_dummy,06:21:00,06:21:00,node/13369432842,21
relation/19959712_dummy,06:22:00,06:22:00,node/13369432844,22
relation/19959712_dummy,06:23:00,06:23:00,node/13369432845,23
relation/19959712_dummy,06:24:00,06:24:00,node/13369432846,24
relation/19959712_dummy,06:25:00,06:25:00,node/13369432847,25
relation/19959712_dummy,06:26:00,06:26:00,node/13369432848,26
relation/19959712_dummy,06:27:00,06:27:00,node/13369432849,27
relation/19959712_dummy,06:28:00,06:28:00,node/13369432850,28
relation/19959712_dummy,06:29:00,06:29:00,node/13369432851,29
relation/19959712_dummy,06:30:00,06:30:00,node/13369432852,30
relation/19959712_dummy,06:31:00,06:31:00,node/13369432853,31
relation/19959712_dummy,06:32:00,06:32:00,node/13369432854,32
relation/19959712_dummy,06:33:00,06:33:00,node/13369432855,33
relation/19959712_dummy,06:34:00,06:34:00,node/13369432856,34
relation/19959712_dummy,06:35:00,06:35:00,node/13369432857,35
relation/19959712_dummy,06:36:00,06:36:00,node/13369432858,36
relation/19959712_dummy,06:37:00,06:37:00,node/13369432859,37
relation/19959712_dummy,06:38:00,06:38:00,node/13369432860,38
relation/19959712_dummy,06:39:00,06:39:00,node/13369432861,39
relation/19959712_dummy,06:40:00,06:40:00,node/6722557695,40
relation/19959712_dummy,06:41:00,06:41:00,node/13369432862,41
relation/19959712_dummy,06:42:00,06:42:00,node/13369432863,42
relation/19959712_dummy,06:43:00,06:43:00,node/13369432864,43
relation/19959712_dummy,06:44:00,06:44:00,node/13369432865,44
relation/19959712_dummy,06:45:00,06:45:00,node/13369432867,45
relation/19959712_dummy,06:46:00,06:46:00,node/13369432868,46
relation/19959712_dummy,06:47:00,06:47:00,node/13369432869,47
relation/19959712_dummy,06:48:00,06:48:00,node/13369432870,48
relation/19959712_dummy,06:49:00,06:49:00,node/13369432871,49
relation/19962709_dummy,06:00:00,06:00:00,node/13373919621,0
relation/19962709_dummy,06:01:00,06:01:00,node/13373919620,1
relation/19962709_dummy,06:02:00,06:02:00,node/13373919619,2
relation/19962709_dummy,06:03:00,06:03:00,node/13373919618,3
relation/19962709_dummy,06:04:00,06:04:00,node/13373967641,4
relation/19962709_dummy,06:05:00,06:05:00,node/13373967640,5
relation/19962709_dummy,06:06:00,06:06:00,node/13373967639,6
relation/19962709_dummy,06:07:00,06:07:00,node/13373967638,7
relation/19962709_dummy,06:08:00,06:08:00,node/13373967637,8
relation/19962709_dummy,06:09:00,06:09:00,node/13373967636,9
relation/19962709_dummy,06:10:00,06:10:00,node/13373967635,10
relation/19962709_dummy,06:11:00,06:11:00,node/13387890832,11
relation/19962709_dummy,06:12:00,06:12:00,node/13377614192,12
relation/19962709_dummy,06:13:00,06:13:00,node/13377614191,13
relation/19962709_dummy,06:14:00,06:14:00,node/13377614190,14
relation/19962709_dummy,06:15:00,06:15:00,node/13377614189,15
relation/19962709_dummy,06:16:00,06:16:00,node/13377614188,16
relation/19962709_dummy,06:17:00,06:17:00,node/13377614187,17
relation/19962709_dummy,06:18:00,06:18:00,node/13377614186,18
relation/19962709_dummy,06:19:00,06:19:00,node/13377614185,19
relation/19962709_dummy,06:20:00,06:20:00,node/13377607746,20
relation/19962709_dummy,06:21:00,06:21:00,node/13377607745,21
relation/19962709_dummy,06:22:00,06:22:00,node/13377607744,22
relation/19962709_dummy,06:23:00,06:23:00,node/13377607743,23
relation/19962709_dummy,06:24:00,06:24:00,node/13377607742,24
relation/19962709_dummy,06:25:00,06:25:00,node/13377607741,25
relation/19962709_dummy,06:26:00,06:26:00,node/13377607740,26
relation/19966458_dummy,06:00:00,06:00:00,node/13380469680,0
relation/19966458_dummy,06:01:00,06:01:00,node/13380469679,1
relation/19966458_dummy,06:02:00,06:02:00,node/13380469678,2
relation/19966458_dummy,06:03:00,06:03:00,node/13380469677,3
relation/19966458_dummy,06:04:00,06:04:00,node/13380469676,4
relation/19966458_dummy,06:05:00,06:05:00,node/13380469675,5
