stop_id,stop_name,stop_lat,stop_lon
node/13373919621,Stop 13373919621,-25.7445311,28.1931459
node/13373919620,Stop 13373919620,-25.7441616,28.1985234
node/13373919619,Stop 13373919619,-25.74401,28.2007691
node/13373967641,Environment House,-25.7393386,28.2032206
node/13373967640,Soutpansberg,-25.7369629,28.2030006
node/13373967639,Dr. Savage,-25.7336537,28.2039361
node/13373967638,Steve Biko Hospital,-25.7310916,28.2044115
node/13373967637,Flower,-25.7281894,28.2040276
node/13373967636,Stop 13373967636,-25.7265695,28.2037795
node/13373967635,Stop 13373967635,-25.7243111,28.2034127
node/13387890832,Middle Gezina,-25.7194061,28.202549
node/13373939238,Stop 13373939238,-25.7183833,28.2036637
node/13373939237,Stop 13373939237,-25.7178535,28.2075631
node/13373939236,Stop 13373939236,-25.7176795,28.2090638
node/13374023719,Stop 13374023719,-25.7169826,28.210025
node/13374044522,Stop 13374044522,-25.7153681,28.2102433
node/13374044521,Stop 13374044521,-25.7127893,28.2108907
node/13374044520,Stop 13374044520,-25.7103808,28.2104887
node/13374044519,Stop 13374044519,-25.7079121,28.2100968
node/13374044518,Stop 13374044518,-25.7057769,28.2097437
node/13374044517,Stop 13374044517,-25.7036674,28.2093984
node/13375288073,Stop 13375288073,-25.7017527,28.210076
node/13375288072,Stop 13375288072,-25.7014122,28.2125845
node/13375288071,Stop 13375288071,-25.7009066,28.2163966
node/13375288070,Stop 13375288070,-25.7003427,28.2180606
node/13375288069,Stop 13375288069,-25.6999881,28.2207579
node/13375288068,Stop 13375288068,-25.6995542,28.2239896
node/13375288067,Stop 13375288067,-25.6990757,28.2275234
node/13375288066,Stop 13375288066,-25.6986594,28.2305825
node/13375288065,Stop 13375288065,-25.6982116,28.233891
node/13375288064,Stop 13375288064,-25.6980023,28.235452
node/13375288063,Stop 13375288063,-25.6974914,28.2400922
node/13375288062,Stop 13375288062,-25.6974708,28.2418377
node/13375356567,Stop 13375356567,-25.6990823,28.2512828
node/13375356566,Stop 13375356566,-25.6993095,28.2533544
node/13375356565,Stop 13375356565,-25.6996569,28.2564611
node/13375356564,Stop 13375356564,-25.7000231,28.2596787
node/13375356563,Stop 13375356563,-25.7002751,28.2618778
node/13375356562,Stop 13375356562,-25.700395,28.2630288
node/13375356561,Stop 13375356561,-25.7005971,28.2648175
node/13375356560,Stop 13375356560,-25.7009578,28.268003
node/13375377102,Stop 13375377102,-25.6987802,28.268529
node/13375377101,Stop 13375377101,-25.6983074,28.2702363
node/13375295900,Stop 13375295900,-25.6986292,28.2727341
node/13367259291,Varing and Bergarend,-25.6986747,28.2726798
node/13367380236,Stop 13367380236,-25.6986779,28.271316
node/13367380237,Stop 13367380237,-25.6983961,28.2701387
node/13367380238,Stop 13367380238,-25.6985611,28.2686693
node/13367380239,Stop 13367380239,-25.7010361,28.2678369
node/13367380240,Stop 13367380240,-25.7006748,28.264673
node/13367380241,Stop 13367380241,-25.7003379,28.2616365
node/13367380242,Stop 13367380242,-25.7000916,28.2593726
node/13367380243,Stop 13367380243,-25.6996432,28.2553471
node/13367380244,Stop 13367380244,-25.69941,28.2533085
node/13367380245,Stop 13367380245,-25.6989871,28.2496139
node/13367380246,Stop 13367380246,-25.6987078,28.2471464
node/13367380247,Stop 13367380247,-25.6982887,28.2433627
node/13367380248,Stop 13367380248,-25.6975824,28.2414822
node/13367380249,Stop 13367380249,-25.6975839,28.2396622
node/13367380250,Stop 13367380250,-25.6976119,28.2384932
node/13367380251,Stop 13367380251,-25.6982239,28.2344591
node/13367380252,Stop 13367380252,-25.6984744,28.2326431
node/13367380253,Stop 13367380253,-25.6988801,28.2296807
node/13367380255,Stop 13367380255,-25.6997326,28.2233203
node/13369432841,Stop 13369432841,-25.7002696,28.2192629
node/13369432842,Stop 13369432842,-25.7009926,28.2165403
node/13369432844,Stop 13369432844,-25.7012951,28.2142063
node/13369432845,Stop 13369432845,-25.7016075,28.2118194
node/13369432846,Stop 13369432846,-25.7019224,28.2095528
node/13369432847,Stop 13369432847,-25.7043512,28.2096399
node/13369432848,Stop 13369432848,-25.7064237,28.2099583
node/13369432849,Stop 13369432849,-25.708683,28.2103285
node/13369432850,Stop 13369432850,-25.7113961,28.2107618
node/13369432851,Stop 13369432851,-25.7137242,28.2111872
node/13369432852,Stop 13369432852,-25.7165157,28.2100434
node/13369432853,Stop 13369432853,-25.7181308,28.2100725
node/13369432854,Stop 13369432854,-25.7198929,28.2094068
node/13369432855,Stop 13369432855,-25.7201395,28.2076476
node/13369432856,Stop 13369432856,-25.7203358,28.2064332
node/13369432857,Stop 13369432857,-25.7204369,28.2053858
node/13369432858,Middle Gezina,-25.7210241,28.2046327
node/13369432859,Upper Gezina,-25.7256957,28.2053519
node/13369432860,Stop 13369432860,-25.7280302,28.2057146
node/13369432861,Steve Biko Hospital,-25.7305618,28.2046787
node/6722557695,Annie Botha,-25.7325633,28.2048085
node/13369432862,Harvest House,-25.7368648,28.2053414
