trip_id,arrival_time,departure_time,stop_id,stop_sequence
relation/14547887_dummy,06:00:00,06:00:00,node/10002774150,0
relation/14547887_dummy,06:01:00,06:01:00,node/10002774148,1
relation/14547887_dummy,06:02:00,06:02:00,node/7767523703,2
relation/14547887_dummy,06:03:00,06:03:00,node/6966628712,3
relation/14547887_dummy,06:04:00,06:04:00,node/10002774154,4
relation/14547887_dummy,06:05:00,06:05:00,node/10002774152,5
relation/14547887_dummy,06:06:00,06:06:00,node/10002774153,6
relation/14547887_dummy,06:07:00,06:07:00,node/6966712660,7
relation/14547887_dummy,06:08:00,06:08:00,node/10002774156,8
relation/14547887_dummy,06:09:00,06:09:00,node/10002774155,9
relation/14547887_dummy,06:10:00,06:10:00,node/10002774149,10
relation/14547887_dummy,06:11:00,06:11:00,node/10002774150,11
relation/14609010_dummy,06:00:00,06:00:00,node/10002774150,0
relation/14609010_dummy,06:01:00,06:01:00,node/10002774148,1
relation/14609010_dummy,06:02:00,06:02:00,node/7767523703,2
relation/14609010_dummy,06:03:00,06:03:00,node/10044676495,3
relation/14609010_dummy,06:04:00,06:04:00,node/10044676494,4
relation/14609010_dummy,06:05:00,06:05:00,node/10044676493,5
relation/14609010_dummy,06:06:00,06:06:00,node/10044676492,6
relation/14609010_dummy,06:07:00,06:07:00,node/6966628741,7
relation/14609010_dummy,06:08:00,06:08:00,node/10002774149,8
relation/14609010_dummy,06:09:00,06:09:00,node/10002774150,9
relation/14704069_dummy,06:00:00,06:00:00,node/10002774150,0
relation/14704069_dummy,06:01:00,06:01:00,node/10002774148,1
relation/14704069_dummy,06:02:00,06:02:00,node/7767523703,2
relation/14704069_dummy,06:03:00,06:03:00,node/10108256996,3
relation/14704069_dummy,06:04:00,06:04:00,node/6966628714,4
relation/14704069_dummy,06:05:00,06:05:00,node/10108256967,5
relation/14704069_dummy,06:06:00,06:06:00,node/10108256966,6
relation/14704069_dummy,06:07:00,06:07:00,node/10108256965,7
relation/14704069_dummy,06:08:00,06:08:00,node/10108377341,8
relation/14704069_dummy,06:09:00,06:09:00,node/10108377340,9
relation/14704069_dummy,06:10:00,06:10:00,node/10108377339,10
relation/14704069_dummy,06:11:00,06:11:00,node/10108377338,11
relation/14704069_dummy,06:12:00,06:12:00,node/10108377337,12
relation/14704069_dummy,06:13:00,06:13:00,node/10108377336,13
relation/14704069_dummy,06:14:00,06:14:00,node/10108377335,14
relation/14704069_dummy,06:15:00,06:15:00,node/10108377334,15
relation/14704069_dummy,06:16:00,06:16:00,node/10108377333,16
relation/14704069_dummy,06:17:00,06:17:00,node/10002774149,17
relation/14704069_dummy,06:18:00,06:18:00,node/10002774150,18
