trip_id,arrival_time,departure_time,stop_id,stop_sequence
relation/4511530_dummy,06:00:00,06:00:00,node/3320632476,0
relation/4511530_dummy,06:01:00,06:01:00,node/3320685945,1
relation/4511530_dummy,06:02:00,06:02:00,node/3320685944,2
relation/4511530_dummy,06:03:00,06:03:00,node/766148883,3
relation/4511530_dummy,06:04:00,06:04:00,node/771231864,4
relation/4511530_dummy,06:05:00,06:05:00,node/767545313,5
relation/4511530_dummy,06:06:00,06:06:00,node/766108831,6
relation/4511530_dummy,06:07:00,06:07:00,node/767545317,7
relation/4511530_dummy,06:08:00,06:08:00,node/3307241857,8
relation/4511530_dummy,06:09:00,06:09:00,node/3307241860,9
relation/4511530_dummy,06:10:00,06:10:00,node/3309318632,10
relation/4511530_dummy,06:11:00,06:11:00,node/3320685943,11
relation/4511530_dummy,06:12:00,06:12:00,node/3309318638,12
relation/4511530_dummy,06:13:00,06:13:00,node/3309318631,13
relation/4511530_dummy,06:14:00,06:14:00,node/3309318633,14
relation/4511530_dummy,06:15:00,06:15:00,node/3320685946,15
relation/4511530_dummy,06:16:00,06:16:00,node/3309318635,16
relation/4511530_dummy,06:17:00,06:17:00,node/3309318634,17
relation/4511530_dummy,06:18:00,06:18:00,node/3309318630,18
relation/4511530_dummy,06:19:00,06:19:00,node/3309318636,19
relation/4511530_dummy,06:20:00,06:20:00,node/3309318637,20
relation/4511530_dummy,06:21:00,06:21:00,node/3309318639,21
relation/4511533_dummy,06:00:00,06:00:00,node/3309318639,0
relation/4511533_dummy,06:01:00,06:01:00,node/3309318637,1
relation/4511533_dummy,06:02:00,06:02:00,node/3309318636,2
relation/4511533_dummy,06:03:00,06:03:00,node/3309318630,3
relation/4511533_dummy,06:04:00,06:04:00,node/3309318634,4
relation/4511533_dummy,06:05:00,06:05:00,node/3309318635,5
relation/4511533_dummy,06:06:00,06:06:00,node/3320685946,6
relation/4511533_dummy,06:07:00,06:07:00,node/3309318633,7
relation/4511533_dummy,06:08:00,06:08:00,node/3309318631,8
relation/4511533_dummy,06:09:00,06:09:00,node/3309318638,9
relation/4511533_dummy,06:10:00,06:10:00,node/3320685943,10
relation/4511533_dummy,06:11:00,06:11:00,node/3309318632,11
relation/4511533_dummy,06:12:00,06:12:00,node/3307241860,12
relation/4511533_dummy,06:13:00,06:13:00,node/3307241856,13
relation/4511533_dummy,06:14:00,06:14:00,node/767545310,14
relation/4511533_dummy,06:15:00,06:15:00,node/766108828,15
relation/4511533_dummy,06:16:00,06:16:00,node/766108814,16
relation/4511533_dummy,06:17:00,06:17:00,node/771231864,17
relation/4511533_dummy,06:18:00,06:18:00,node/766148880,18
relation/4511533_dummy,06:19:00,06:19:00,node/3320685944,19
relation/4511533_dummy,06:20:00,06:20:00,node/3320685945,20
relation/4511533_dummy,06:21:00,06:21:00,node/3320632476,21
relation/4511598_dummy,06:00:00,06:00:00,node/3309318639,0
relation/4511598_dummy,06:01:00,06:01:00,node/3309318637,1
relation/4511598_dummy,06:02:00,06:02:00,node/3309318636,2
relation/4511598_dummy,06:03:00,06:03:00,node/3309318630,3
relation/4511598_dummy,06:04:00,06:04:00,node/3309318634,4
relation/4511598_dummy,06:05:00,06:05:00,node/3309318635,5
relation/4511598_dummy,06:06:00,06:06:00,node/3320685946,6
relation/4511598_dummy,06:07:00,06:07:00,node/3309318633,7
