stop_id,stop_name,stop_lat,stop_lon
node/3320632476,Ellis Park East Bus Station (T1),-26.1949167,28.0654982
node/3320685945,Ellis Park North,-26.1914068,28.0615894
node/3320685944,Doornfontein Campus,-26.1927307,28.0542361
node/766148883,Old Synagogue Westbound,-26.1941386,28.0498055
node/771231864,Johannesburg Art Gallery,-26.1954292,28.0479862
node/767545313,Fashion Square Southbound,-26.2010766,28.0505516
node/766108831,Carlton Bus Station (Westbound: T1),-26.2047811,28.0480381
node/767545317,Library Gardens Westbound,-26.2055198,28.0419409
node/3307241857,Chancellor House (Westbound),-26.2061465,28.036173
node/3307241860,Westgate,-26.2107112,28.0339639
node/3309318632,Mavumbi,-26.2285647,28.0214564
node/3320685943,Basothong,-26.2297151,28.0106895
node/3309318638,Soccer City,-26.2313975,27.9828113
node/3309318631,Diepkloof,-26.2333348,27.9525093
node/3309318633,Ghost Town,-26.2339859,27.9460533
node/3320685946,Noordgesig,-26.2287011,27.9335926
node/3309318635,Orlando Amstel Arena,-26.2328569,27.9242176
node/3309318634,Orlando Police Station,-26.2386398,27.919954
node/3309318630,Boomtown,-26.2421161,27.9154455
node/3309318636,Klipspruit Valley,-26.2608662,27.8907183
node/3309318637,Lakeview,-26.2629824,27.8866663
node/3309318639,Thokoza Park,-26.2641104,27.8806568
node/3307241856,Chancellor House (Eastbound),-26.2053868,28.0360737
node/767545310,Library Gardens Eastbound,-26.2046864,28.041717
node/766108828,Carlton Eastbound,-26.2039717,28.0481526
node/766108814,Fashion Square Northbound,-26.2020775,28.0487946
node/766148880,Old Synagogue Eastbound,-26.1935637,28.0497472
node/3320685947,Rissik Street,-26.2021891,28.0416879
node/767536465,Joburg Theatre,-26.1916425,28.0396162
node/3318822634,Constitution Hill,-26.1911379,28.0412309
node/3318924741,Noordgesig Extension,-26.2263293,27.9350125
node/3318924740,New Canada,-26.2158218,27.9433447
node/3309682563,Bosmont,-26.202067,27.9589225
node/3309390255,Coronationville,-26.1901313,27.9681071
node/3318924742,Westbury,-26.1868085,27.9760651
node/3309390253,Helen Joseph Hospital,-26.1832237,27.9905213
node/2745520635,UJ Kingsway Campus,-26.1819763,27.9989692
node/2745520632,UJ Sophiatown Res,-26.1829109,28.0035311
node/3318822636,SABC Media Park,-26.1843222,28.009889
node/2745520634,Milpark,-26.1832068,28.0206605
node/3318822635,Parktown (T1, C4, C5),-26.1852369,28.0393732
