route_id,service_id,trip_id
relation/4511530,dummy,relation/4511530_dummy
relation/4511533,dummy,relation/4511533_dummy
relation/4511598,dummy,relation/4511598_dummy
relation/4511835,dummy,relation/4511835_dummy
relation/4512263,dummy,relation/4512263_dummy
relation/4513582,dummy,relation/4513582_dummy
relation/4513703,dummy,relation/4513703_dummy
relation/4513946,dummy,relation/4513946_dummy
relation/4513947,dummy,relation/4513947_dummy
relation/4514015,dummy,relation/4514015_dummy
relation/4514016,dummy,relation/4514016_dummy
relation/4514458,dummy,relation/4514458_dummy
relation/4514459,dummy,relation/4514459_dummy
relation/4514729,dummy,relation/4514729_dummy
relation/4514730,dummy,relation/4514730_dummy
relation/4514818,dummy,relation/4514818_dummy
relation/4514819,dummy,relation/4514819_dummy
relation/4516346,dummy,relation/4516346_dummy
relation/4516347,dummy,relation/4516347_dummy
relation/4516469,dummy,relation/4516469_dummy
relation/4517007,dummy,relation/4517007_dummy
relation/4517118,dummy,relation/4517118_dummy
relation/4538797,dummy,relation/4538797_dummy
relation/4540480,dummy,relation/4540480_dummy
relation/4540481,dummy,relation/4540481_dummy
relation/4540482,dummy,relation/4540482_dummy
relation/4543758,dummy,relation/4543758_dummy
relation/4543759,dummy,relation/4543759_dummy
