trip_id,arrival_time,departure_time,stop_id,stop_sequence
relation/1024053_dummy,06:00:00,06:00:00,node/9165712815,0
relation/1024053_dummy,06:01:00,06:01:00,node/9165712814,1
relation/1024053_dummy,06:02:00,06:02:00,node/4332066223,2
relation/1024053_dummy,06:03:00,06:03:00,node/4332066367,3
relation/1024053_dummy,06:04:00,06:04:00,node/9165861764,4
relation/1024053_dummy,06:05:00,06:05:00,node/4332066498,5
relation/1024053_dummy,06:06:00,06:06:00,node/7727566600,6
relation/1024053_dummy,06:07:00,06:07:00,node/4332386312,7
relation/1024053_dummy,06:08:00,06:08:00,node/9165861763,8
relation/1024053_dummy,06:09:00,06:09:00,node/4332262525,9
relation/1024053_dummy,06:10:00,06:10:00,node/4332262411,10
relation/1024053_dummy,06:11:00,06:11:00,node/247644634,11
relation/1024053_dummy,06:12:00,06:12:00,node/1555021778,12
relation/1024053_dummy,06:13:00,06:13:00,node/247644564,13
relation/1024053_dummy,06:14:00,06:14:00,node/247644614,14
relation/1024053_dummy,06:15:00,06:15:00,node/247644579,15
relation/1024053_dummy,06:16:00,06:16:00,node/247644578,16
relation/1024053_dummy,06:17:00,06:17:00,node/2801781604,17
relation/1024053_dummy,06:18:00,06:18:00,node/9144397339,18
relation/1024053_dummy,06:19:00,06:19:00,node/9144406964,19
relation/1024053_dummy,06:20:00,06:20:00,node/9144406965,20
relation/1024053_dummy,06:21:00,06:21:00,node/7474742596,21
relation/1024053_dummy,06:22:00,06:22:00,node/9144397337,22
relation/1026727_dummy,06:00:00,06:00:00,node/9165712815,0
relation/1026727_dummy,06:01:00,06:01:00,node/9165712814,1
relation/1026727_dummy,06:02:00,06:02:00,node/4332066223,2
relation/1026727_dummy,06:03:00,06:03:00,node/4332066367,3
relation/1026727_dummy,06:04:00,06:04:00,node/7007051779,4
relation/1026727_dummy,06:05:00,06:05:00,node/4332066500,5
relation/1026727_dummy,06:06:00,06:06:00,node/4332384078,6
relation/1026727_dummy,06:07:00,06:07:00,node/4332386304,7
relation/1026727_dummy,06:08:00,06:08:00,node/4332262156,8
