stop_id,stop_name,stop_lat,stop_lon
node/9165712815,Johannesburg Park,-26.1981336,28.0421947
node/9165712814,Doornfontein,-26.1972385,28.053617
node/4332066223,Ellis Park Station,-26.1984542,28.0586153
node/4332066367,Jeppe,-26.2047315,28.0642664
node/9165861764,George Goch,-26.2081056,28.0796216
node/4332066498,Denver,-26.2064493,28.0958515
node/7727566600,Tooronga,-26.2040382,28.1092487
node/4332386312,Clevenland,-26.2086405,28.1180209
node/9165861763,Geldenhuis,-26.2087806,28.1316847
node/4332262525,Driehoek,-26.2136309,28.1493182
node/4332262411,President,-26.2130684,28.158069
node/247644634,Germiston,-26.210075,28.1678646
node/1555021778,Delmore,-26.2063859,28.1988908
node/247644564,Angelo,-26.2046163,28.2123569
node/247644578,Boksburg-Oos,-26.2183196,28.2596683
node/2801781604,Dunswart,-26.209467,28.2855905
node/9144397339,Avenue,-26.2020643,28.2970867
node/9144406964,Northmead,-26.1809513,28.3186051
node/9144406965,Van Ryn,-26.1729899,28.3444668
node/7474742596,Alliance,-26.1724905,28.4165767
node/9144397337,Daveyton,-26.1564097,28.424577
node/7007051779,George Goch,-26.2078678,28.0799816
node/4332066500,Denver,-26.2063869,28.0957223
node/4332384078,Tooronga,-26.2040394,28.1096076
node/4332386304,Cleveland,-26.2085368,28.1180698
node/4332262156,Geldenhuis,-26.2086069,28.1317592
node/9168944953,Knights,-26.1980305,28.1954898
node/9168944952,Ravensklip,-26.1820795,28.1994118
node/9168944951,Elandsfontein,-26.1674358,28.2049987
node/9168944950,Isando,-26.1360871,28.2217255
node/7798710136,Rhodesfield,-26.1265593,28.22486
node/247644678,Kempton Park,-26.1082566,28.2271522
node/247644855,Van Riebeeck Park,-26.0881266,28.2217574
node/247644580,Birchleigh,-26.06737,28.2345262
node/247644687,Kaalfontein,-26.0354971,28.2546754
node/247644757,Olifantsfontein,-25.9641019,28.2357048
node/247644797,Pinedene,-25.9136855,28.228827
node/7821373211,Irene,-25.8747826,28.2243128
node/247644715,Centurion,-25.8349977,28.2109191
node/8867473407,Sportpark,-25.8246441,28.2057171
node/247644707,Kloofsig,-25.8133176,28.2011258
node/247644642,Fonteine,-25.7834199,28.1929429
node/7059609602,Pretoria,-25.7588249,28.1884983
node/9165861765,Johannesburg Park,-26.1982834,28.0422145
node/247644818,Tembisa,-26.0096119,28.2313797
node/247644736,Limindlela,-26.0111889,28.2148118
node/247644742,Leralla,-26.0292821,28.1963427
node/4332203161,Faraday,-26.2121149,28.0444519
node/9167470584,Village Main,-26.2190184,28.0449151
node/4332203376,Booysens,-26.2246599,28.038946
node/4331222160,Crown,-26.2221864,28.0127697
node/1499441711,New Canada,-26.2139139,27.9435135
