trip_id,arrival_time,departure_time,stop_id,stop_sequence
relation/4511530_weekday_peak1,06:00:00,06:00:00,node/3320632476,0
relation/4511530_weekday_peak1,06:01:44,06:01:44,node/3320685945,1
relation/4511530_weekday_peak1,06:04:14,06:04:14,node/3320685944,2
relation/4511530_weekday_peak1,06:05:47,06:05:47,node/766148883,3
relation/4511530_weekday_peak1,06:06:47,06:06:47,node/771231864,4
relation/4511530_weekday_peak1,06:08:51,06:08:51,node/767545313,5
relation/4511530_weekday_peak1,06:10:20,06:10:20,node/766108831,6
relation/4511530_weekday_peak1,06:12:23,06:12:23,node/767545317,7
relation/4511530_weekday_peak1,06:14:19,06:14:19,node/3307241857,8
relation/4511530_weekday_peak1,06:16:00,06:16:00,node/3307241860,9
relation/4511530_weekday_peak1,06:23:15,06:23:15,node/3309318632,10
relation/4511530_weekday_peak1,06:26:52,06:26:52,node/3320685943,11
relation/4511530_weekday_peak1,06:36:10,06:36:10,node/3309318638,12
relation/4511530_weekday_peak1,06:46:17,06:46:17,node/3309318631,13
relation/4511530_weekday_peak1,06:48:26,06:48:26,node/3309318633,14
relation/4511530_weekday_peak1,06:52:57,06:52:57,node/3320685946,15
relation/4511530_weekday_peak1,06:56:22,06:56:22,node/3309318635,16
relation/4511530_weekday_peak1,06:58:45,06:58:45,node/3309318634,17
relation/4511530_weekday_peak1,07:00:39,07:00:39,node/3309318630,18
relation/4511530_weekday_peak1,07:10:59,07:10:59,node/3309318636,19
relation/4511530_weekday_peak1,07:12:30,07:12:30,node/3309318637,20
relation/4511530_weekday_peak1,07:14:32,07:14:32,node/3309318639,21
relation/4511530_weekday_offpeak,06:00:00,06:00:00,node/3320632476,0
relation/4511530_weekday_offpeak,06:01:44,06:01:44,node/3320685945,1
relation/4511530_weekday_offpeak,06:04:14,06:04:14,node/3320685944,2
relation/4511530_weekday_offpeak,06:05:47,06:05:47,node/766148883,3
relation/4511530_weekday_offpeak,06:06:47,06:06:47,node/771231864,4
relation/4511530_weekday_offpeak,06:08:51,06:08:51,node/767545313,5
relation/4511530_weekday_offpeak,06:10:20,06:10:20,node/766108831,6
relation/4511530_weekday_offpeak,06:12:23,06:12:23,node/767545317,7
relation/4511530_weekday_offpeak,06:14:19,06:14:19,node/3307241857,8
relation/4511530_weekday_offpeak,06:16:00,06:16:00,node/3307241860,9
relation/4511530_weekday_offpeak,06:23:15,06:23:15,node/3309318632,10
relation/4511530_weekday_offpeak,06:26:52,06:26:52,node/3320685943,11
relation/4511530_weekday_offpeak,06:36:10,06:36:10,node/3309318638,12
relation/4511530_weekday_offpeak,06:46:17,06:46:17,node/3309318631,13
relation/4511530_weekday_offpeak,06:48:26,06:48:26,node/3309318633,14
relation/4511530_weekday_offpeak,06:52:57,06:52:57,node/3320685946,15
relation/4511530_weekday_offpeak,06:56:22,06:56:22,node/3309318635,16
relation/4511530_weekday_offpeak,06:58:45,06:58:45,node/3309318634,17
relation/4511530_weekday_offpeak,07:00:39,07:00:39,node/3309318630,18
relation/4511530_weekday_offpeak,07:10:59,07:10:59,node/3309318636,19
relation/4511530_weekday_offpeak,07:12:30,07:12:30,node/3309318637,20
relation/4511530_weekday_offpeak,07:14:32,07:14:32,node/3309318639,21
relation/4511530_weekday_peak2,06:00:00,06:00:00,node/3320632476,0
relation/4511530_weekday_peak2,06:01:44,06:01:44,node/3320685945,1
relation/4511530_weekday_peak2,06:04:14,06:04:14,node/3320685944,2
relation/4511530_weekday_peak2,06:05:47,06:05:47,node/766148883,3
relation/4511530_weekday_peak2,06:06:47,06:06:47,node/771231864,4
relation/4511530_weekday_peak2,06:08:51,06:08:51,node/767545313,5
relation/4511530_weekday_peak2,06:10:20,06:10:20,node/766108831,6
relation/4511530_weekday_peak2,06:12:23,06:12:23,node/767545317,7
relation/4511530_weekday_peak2,06:14:19,06:14:19,node/3307241857,8
relation/4511530_weekday_peak2,06:16:00,06:16:00,node/3307241860,9
relation/4511530_weekday_peak2,06:23:15,06:23:15,node/3309318632,10
relation/4511530_weekday_peak2,06:26:52,06:26:52,node/3320685943,11
relation/4511530_weekday_peak2,06:36:10,06:36:10,node/3309318638,12
relation/4511530_weekday_peak2,06:46:17,06:46:17,node/3309318631,13
relation/4511530_weekday_peak2,06:48:26,06:48:26,node/3309318633,14
relation/4511530_weekday_peak2,06:52:57,06:52:57,node/3320685946,15
relation/4511530_weekday_peak2,06:56:22,06:56:22,node/3309318635,16
relation/4511530_weekday_peak2,06:58:45,06:58:45,node/3309318634,17
relation/4511530_weekday_peak2,07:00:39,07:00:39,node/3309318630,18
relation/4511530_weekday_peak2,07:10:59,07:10:59,node/3309318636,19
relation/4511530_weekday_peak2,07:12:30,07:12:30,node/3309318637,20
relation/4511530_weekday_peak2,07:14:32,07:14:32,node/3309318639,21
relation/4511530_saturday,06:00:00,06:00:00,node/3320632476,0
relation/4511530_saturday,06:01:44,06:01:44,node/3320685945,1
relation/4511530_saturday,06:04:14,06:04:14,node/3320685944,2
relation/4511530_saturday,06:05:47,06:05:47,node/766148883,3
relation/4511530_saturday,06:06:47,06:06:47,node/771231864,4
