route_id,service_id,trip_id
relation/4511530,weekday_peak1,relation/4511530_weekday_peak1
relation/4511530,weekday_offpeak,relation/4511530_weekday_offpeak
relation/4511530,weekday_peak2,relation/4511530_weekday_peak2
relation/4511530,saturday,relation/4511530_saturday
relation/4511530,sunday,relation/4511530_sunday
relation/4511533,weekday_peak1,relation/4511533_weekday_peak1
relation/4511533,weekday_offpeak,relation/4511533_weekday_offpeak
relation/4511533,weekday_peak2,relation/4511533_weekday_peak2
relation/4511533,saturday,relation/4511533_saturday
relation/4511533,sunday,relation/4511533_sunday
relation/4511598,weekday_peak1,relation/4511598_weekday_peak1
relation/4511598,weekday_offpeak,relation/4511598_weekday_offpeak
relation/4511598,weekday_peak2,relation/4511598_weekday_peak2
relation/4511598,saturday,relation/4511598_saturday
relation/4511598,sunday,relation/4511598_sunday
relation/4511835,weekday_peak1,relation/4511835_weekday_peak1
relation/4511835,weekday_offpeak,relation/4511835_weekday_offpeak
relation/4511835,weekday_peak2,relation/4511835_weekday_peak2
relation/4511835,saturday,relation/4511835_saturday
relation/4511835,sunday,relation/4511835_sunday
relation/4512263,weekday_peak1,relation/4512263_weekday_peak1
relation/4512263,weekday_offpeak,relation/4512263_weekday_offpeak
relation/4512263,weekday_peak2,relation/4512263_weekday_peak2
relation/4512263,saturday,relation/4512263_saturday
relation/4512263,sunday,relation/4512263_sunday
relation/4513582,weekday_peak1,relation/4513582_weekday_peak1
relation/4513582,weekday_offpeak,relation/4513582_weekday_offpeak
relation/4513582,weekday_peak2,relation/4513582_weekday_peak2
relation/4513582,saturday,relation/4513582_saturday
relation/4513582,sunday,relation/4513582_sunday
relation/4513703,weekday_peak1,relation/4513703_weekday_peak1
relation/4513703,weekday_offpeak,relation/4513703_weekday_offpeak
relation/4513703,weekday_peak2,relation/4513703_weekday_peak2
relation/4513703,saturday,relation/4513703_saturday
relation/4513703,sunday,relation/4513703_sunday
relation/4513946,weekday_peak1,relation/4513946_weekday_peak1
relation/4513946,weekday_offpeak,relation/4513946_weekday_offpeak
relation/4513946,weekday_peak2,relation/4513946_weekday_peak2
relation/4513946,saturday,relation/4513946_saturday
relation/4513946,sunday,relation/4513946_sunday
relation/4513947,weekday_peak1,relation/4513947_weekday_peak1
relation/4513947,weekday_offpeak,relation/4513947_weekday_offpeak
relation/4513947,weekday_peak2,relation/4513947_weekday_peak2
relation/4513947,saturday,relation/4513947_saturday
relation/4513947,sunday,relation/4513947_sunday
relation/4514015,weekday_peak1,relation/4514015_weekday_peak1
relation/4514015,weekday_offpeak,relation/4514015_weekday_offpeak
relation/4514015,weekday_peak2,relation/4514015_weekday_peak2
relation/4514015,saturday,relation/4514015_saturday
relation/4514015,sunday,relation/4514015_sunday
relation/4514016,weekday_peak1,relation/4514016_weekday_peak1
relation/4514016,weekday_offpeak,relation/4514016_weekday_offpeak
relation/4514016,weekday_peak2,relation/4514016_weekday_peak2
relation/4514016,saturday,relation/4514016_saturday
relation/4514016,sunday,relation/4514016_sunday
relation/4514458,weekday_peak1,relation/4514458_weekday_peak1
relation/4514458,weekday_offpeak,relation/4514458_weekday_offpeak
relation/4514458,weekday_peak2,relation/4514458_weekday_peak2
relation/4514458,saturday,relation/4514458_saturday
relation/4514458,sunday,relation/4514458_sunday
relation/4514459,weekday_peak1,relation/4514459_weekday_peak1
relation/4514459,weekday_offpeak,relation/4514459_weekday_offpeak
relation/4514459,weekday_peak2,relation/4514459_weekday_peak2
relation/4514459,saturday,relation/4514459_saturday
relation/4514459,sunday,relation/4514459_sunday
relation/4514729,weekday_peak1,relation/4514729_weekday_peak1
relation/4514729,weekday_offpeak,relation/4514729_weekday_offpeak
relation/4514729,weekday_peak2,relation/4514729_weekday_peak2
relation/4514729,saturday,relation/4514729_saturday
relation/4514729,sunday,relation/4514729_sunday
relation/4514730,weekday_peak1,relation/4514730_weekday_peak1
relation/4514730,weekday_offpeak,relation/4514730_weekday_offpeak
relation/4514730,weekday_peak2,relation/4514730_weekday_peak2
relation/4514730,saturday,relation/4514730_saturday
relation/4514730,sunday,relation/4514730_sunday
relation/4514818,weekday_peak1,relation/4514818_weekday_peak1
relation/4514818,weekday_offpeak,relation/4514818_weekday_offpeak
relation/4514818,weekday_peak2,relation/4514818_weekday_peak2
relation/4514818,saturday,relation/4514818_saturday
relation/4514818,sunday,relation/4514818_sunday
relation/4514819,weekday_peak1,relation/4514819_weekday_peak1
relation/4514819,weekday_offpeak,relation/4514819_weekday_offpeak
relation/4514819,weekday_peak2,relation/4514819_weekday_peak2
relation/4514819,saturday,relation/4514819_saturday
relation/4514819,sunday,relation/4514819_sunday
